
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
                                                                                            Tue Jan 24 15:59:01 2012
59B  --1-           -1  -1       27394063      0.002058062       2.058062                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       27394063      0.002328843       0.270781                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0DE4
59B  --1-           -1  -1       27394063      0.002331730       0.002887                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000A98, length = 0020
59B  --1-           -1  -1       27394063      0.002335000       0.003270                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000D58, length = 002F
59B  --1-           -1  -1       43384945      0.301079468     298.744468                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       43384945      0.301390031       0.310563                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0FC0
59B  --1-           -1  -1       43384945      0.301393468       0.003437                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000018888, length = 0038
59B  --1-           -1  -1       43384945      0.301397015       0.003547                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 000000000001BDB0, length = 0070
59B  --1-           -1  -1       43384945      0.302481406       1.084391                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000000000000, length = 1000
59B  --1-           -1  -1       43384945      0.302488406       0.007000                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F00, length = 1000
59B  --1-           -1  -1       43384945      0.302493625       0.005219                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021021B0, length = 1000
59B  --1-           -1  -1       43384945      0.302497656       0.004031                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F24, length = 1000
59B  --1-           -1  -1       43384945      0.302505640       0.007984                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB5F2C, length = 1000
